Year,Value,Series
2010,18.949,Share of water withdrawal in renewable water resources
2011,17.509,Share of water withdrawal in renewable water resources
2012,15.956,Share of water withdrawal in renewable water resources
2013,15.188,Share of water withdrawal in renewable water resources
2014,15.214,Share of water withdrawal in renewable water resources
2015,14.56,Share of water withdrawal in renewable water resources
2016,14.464,Share of water withdrawal in renewable water resources
2017,13.374,Share of water withdrawal in renewable water resources
2018,13.333,Share of water withdrawal in renewable water resources
2019,12.993,Share of water withdrawal in renewable water resources
2020,13.225,Share of water withdrawal in renewable water resources
2021,12.097,Share of water withdrawal in renewable water resources
2022,11.723,Share of water withdrawal in renewable water resources
