Year,Value,Series
2010,68.743,a) National legislation and policy relevant to IAS
2011,68.879,a) National legislation and policy relevant to IAS
2012,68.895,a) National legislation and policy relevant to IAS
2013,68.895,a) National legislation and policy relevant to IAS
2014,68.999,a) National legislation and policy relevant to IAS
2015,69.035,a) National legislation and policy relevant to IAS
2016,69.035,a) National legislation and policy relevant to IAS
2017,69.134,a) National legislation and policy relevant to IAS
2018,69.432,a) National legislation and policy relevant to IAS
2019,70.152,a) National legislation and policy relevant to IAS
2020,70.152,a) National legislation and policy relevant to IAS
2021,71.476,a) National legislation and policy relevant to IAS
2022,71.566,a) National legislation and policy relevant to IAS
2023,71.566,a) National legislation and policy relevant to IAS
2024,71.566,a) National legislation and policy relevant to IAS
2010,3999698.924,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2011,4007560.836,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2012,4008502.894,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2013,4008502.894,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2014,4014581.599,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2015,4016635.106,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2016,4016635.106,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2017,4022416.328,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2018,4039782.721,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2019,4081651.296,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2020,4081651.296,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2021,4158660.757,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2022,4163924.472,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2023,4163924.472,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
2024,4163924.47,b) Align the NBSAP targets with Aichi Target 9 of the Strategic Plan for Biodiversity
