Year,Value,Units
2010,5.5,Megajoule per EUR
2011,5.0,Megajoule per EUR
2012,4.9,Megajoule per EUR
2013,4.9,Megajoule per EUR
2014,4.5,Megajoule per EUR
2015,4.4,Megajoule per EUR
2016,4.3,Megajoule per EUR
2017,4.1,Megajoule per EUR
2018,3.9,Megajoule per EUR
2019,3.7,Megajoule per EUR
2010,100.0,2010 = 100
2011,92.0,2010 = 100
2012,90.6,2010 = 100
2013,92.8,2010 = 100
2014,86.5,2010 = 100
2015,85.6,2010 = 100
2016,85.4,2010 = 100
2017,83.4,2010 = 100
2018,80.0,2010 = 100
2019,77.4,2010 = 100
