Year,Value,Units
2010,1263.0,Million tonnes
2011,1363.0,Million tonnes
2012,1318.0,Million tonnes
2013,1311.0,Million tonnes
2014,1348.0,Million tonnes
2015,1268.0,Million tonnes
2016,1280.0,Million tonnes
2017,1326.0,Million tonnes
2018,1279.0,Million tonnes
2010,15.7,Tonnes per capita
2011,17.0,Tonnes per capita
2012,16.4,Tonnes per capita
2013,16.3,Tonnes per capita
2014,17.0,Tonnes per capita
2015,15.8,Tonnes per capita
2016,15.8,Tonnes per capita
2017,15.7,Tonnes per capita
2010,100.0,Per real GDP (2010 = 100)
2011,103.9,Per real GDP (2010 = 100)
2012,100.0,Per real GDP (2010 = 100)
2013,99.0,Per real GDP (2010 = 100)
2014,101.4,Per real GDP (2010 = 100)
2015,93.9,Per real GDP (2010 = 100)
2016,92.7,Per real GDP (2010 = 100)
2017,89.9,Per real GDP (2010 = 100)
