Year,Value,Units,Series
2010,36,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2011,35,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2012,35,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2013,33,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2014,33,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2015,32,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2016,32,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2017,33,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2018,30,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2019,29,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2020,25,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2021,23,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2022,23,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2023,22,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2024,24,Number of pieces of platic waste per 100 meters of beach length,Plastic waste on the beaches of the German North Sea coast
2010,35,Percentage,Plastic particles in fulmar stomachs
2011,28,Percentage,Plastic particles in fulmar stomachs
2012,28,Percentage,Plastic particles in fulmar stomachs
2013,28,Percentage,Plastic particles in fulmar stomachs
2014,24,Percentage,Plastic particles in fulmar stomachs
2015,21,Percentage,Plastic particles in fulmar stomachs
2016,21,Percentage,Plastic particles in fulmar stomachs
2017,22,Percentage,Plastic particles in fulmar stomachs
2018,22,Percentage,Plastic particles in fulmar stomachs
2019,23,Percentage,Plastic particles in fulmar stomachs
2020,21,Percentage,Plastic particles in fulmar stomachs
2021,20,Percentage,Plastic particles in fulmar stomachs
2022,21,Percentage,Plastic particles in fulmar stomachs
2023,22,Percentage,Plastic particles in fulmar stomachs
2024,24,Percentage,Plastic particles in fulmar stomachs
