From,To
type of violence,Altersklasse
type of violence,Geschlecht
type of violence,Art der physischen Gewalt
type of violence,Art der sexuellen Gewalt
type of violence,COMMENT_OBS_0
COMMENT_OBS_0,COMMENT_OBS_1
