Year,COMMENT_OBS_0,Value
2010,,3.8
2011,,2.7
2012,,-0.7
2013,,-0.3
2014,,1.3
2015,,0.5
2016,,1.0
2017,,1.3
2018,,-0.4
2019,,0.2
2020,p,-3.1
2021,p,3.0
2022,p,0.4
2023,p,-0.9
